"long","lat","location","category","n"
-2.190352,53.457881,"On or near Gorebrook Court","Vehicle crime",4
-2.185546,53.43664,"On or near Hardicker Street","Violence and sexual offences",4
-2.184488,53.501673,"On or near Morecambe Close","Violence and sexual offences",4
-2.174384,53.519072,"On or near Ramsbury Drive","Violence and sexual offences",4
-2.298605,53.402119,"On or near Shopping Area","Shoplifting",3
-2.29319,53.388821,"On or near Hospital","Other theft",3
-2.29319,53.388821,"On or near Hospital","Violence and sexual offences",3
-2.284439,53.438495,"On or near Gresford Close","Violence and sexual offences",3
-2.281618,53.442061,"On or near Manchester Road","Shoplifting",3
-2.279443,53.411235,"On or near Newhall Drive","Violence and sexual offences",3
-2.279064,53.367021,"On or near Airport/Airfield","Public order",3
-2.278743,53.442176,"On or near Supermarket","Shoplifting",3
-2.278349,53.448666,"On or near Scott Avenue","Burglary",3
-2.278327,53.442941,"On or near Shopping Area","Shoplifting",3
-2.273425,53.380652,"On or near Simonsway","Violence and sexual offences",3
-2.270294,53.432137,"On or near Supermarket","Shoplifting",3
-2.269883,53.362566,"On or near Domestic Approach","Other theft",3
-2.265628,53.395986,"On or near Royalthorn Drive","Violence and sexual offences",3
-2.258573,53.45263,"On or near May Road","Public order",3
-2.253896,53.392974,"On or near Petworth Close","Vehicle crime",3
-2.252595,53.500749,"On or near Everside Drive","Violence and sexual offences",3
-2.250925,53.501355,"On or near Bromshill Drive","Violence and sexual offences",3
-2.250873,53.477158,"On or near Longworth Street","Theft from the person",3
-2.250442,53.47821,"On or near Supermarket","Violence and sexual offences",3
-2.250416,53.476377,"On or near Parking Area","Violence and sexual offences",3
-2.249579,53.477502,"On or near Shopping Area","Violence and sexual offences",3
-2.248907,53.47851,"On or near Nightclub","Other theft",3
-2.248763,53.479625,"On or near Deansgate","Violence and sexual offences",3
-2.247977,53.474162,"On or near Albion Street","Theft from the person",3
-2.247911,53.462737,"On or near Greenheys Lane West","Other theft",3
-2.247888,53.461362,"On or near Shopping Area","Shoplifting",3
-2.247534,53.48085,"On or near Nightclub","Theft from the person",3
-2.247534,53.48085,"On or near Nightclub","Violence and sexual offences",3
-2.247338,53.478199,"On or near Marron Place","Theft from the person",3
-2.247008,53.483718,"On or near Parking Area","Violence and sexual offences",3
-2.246855,53.483332,"On or near Nightclub","Other theft",3
-2.246399,53.482641,"On or near Nightclub","Theft from the person",3
-2.246337,53.492717,"On or near Prison","Violence and sexual offences",3
-2.245897,53.481833,"On or near St Ann Street","Theft from the person",3
-2.245437,53.4673,"On or near Bonsall Street","Theft from the person",3
-2.245407,53.50124,"On or near Waterloo Road","Criminal damage and arson",3
-2.245216,53.483839,"On or near Shopping Area","Other theft",3
-2.244868,53.480927,"On or near Cross Street","Shoplifting",3
-2.244738,53.484631,"On or near Conference/Exhibition Centre","Shoplifting",3
-2.244594,53.477944,"On or near Theatre/Concert Hall","Criminal damage and arson",3
-2.244594,53.477944,"On or near Theatre/Concert Hall","Public order",3
-2.244206,53.515309,"On or near Seymour Road","Violence and sexual offences",3
-2.243949,53.483698,"On or near Parking Area","Other theft",3
-2.243518,53.476777,"On or near Hall Street","Other theft",3
-2.243178,53.488562,"On or near Pedestrian Subway","Theft from the person",3
-2.242156,53.475729,"On or near Oxford Street","Other theft",3
-2.242156,53.475729,"On or near Oxford Street","Shoplifting",3
-2.240748,53.485169,"On or near Nightclub","Theft from the person",3
-2.240732,53.43718,"On or near Woodhall Avenue","Violence and sexual offences",3
-2.240549,53.481916,"On or near Sickle Street","Theft from the person",3
-2.239533,53.478179,"On or near Reyner Street","Other theft",3
-2.239455,53.491113,"On or near Hornbeam Way","Vehicle crime",3
-2.238922,53.476724,"On or near Nightclub","Violence and sexual offences",3
-2.238818,53.498467,"On or near Elizabeth Street","Shoplifting",3
-2.238683,53.477021,"On or near Hart Street","Violence and sexual offences",3
-2.238637,53.482225,"On or near Shopping Area","Bicycle theft",3
-2.238126,53.479835,"On or near Parking Area","Other theft",3
-2.238126,53.479835,"On or near Parking Area","Theft from the person",3
-2.238118,53.448897,"On or near Thornton Road","Criminal damage and arson",3
-2.237689,53.477185,"On or near Nightclub","Violence and sexual offences",3
-2.237536,53.474111,"On or near Charles Street","Violence and sexual offences",3
-2.237527,53.475073,"On or near Nightclub","Other theft",3
-2.237148,53.49368,"On or near Stanley Street","Vehicle crime",3
-2.236952,53.47733,"On or near Richmond Street","Other theft",3
-2.236884,53.484161,"On or near Thomas Street","Violence and sexual offences",3
-2.236353,53.448199,"On or near Congleton Avenue","Violence and sexual offences",3
-2.236341,53.48125,"On or near Piccadilly","Criminal damage and arson",3
-2.236341,53.48125,"On or near Piccadilly","Public order",3
-2.235787,53.511821,"On or near Theatre/Concert Hall","Violence and sexual offences",3
-2.235083,53.479976,"On or near Hope Street","Public order",3
-2.235083,53.479976,"On or near Hope Street","Violence and sexual offences",3
-2.234786,53.483509,"On or near Nightclub","Other theft",3
-2.234383,53.484157,"On or near Whittle Street","Violence and sexual offences",3
-2.23355,53.519034,"On or near Ingleton Avenue","Other theft",3
-2.232372,53.46089,"On or near Burleigh Street","Burglary",3
-2.23236,53.480782,"On or near China Lane","Other theft",3
-2.231546,53.483444,"On or near Houldsworth Street","Violence and sexual offences",3
-2.231356,53.465126,"On or near Brighton Place","Bicycle theft",3
-2.22971,53.517406,"On or near Central Drive","Drugs",3
-2.22971,53.517406,"On or near Central Drive","Other theft",3
-2.229531,53.484293,"On or near Cotton Street","Vehicle crime",3
-2.229347,53.478118,"On or near Boad Street","Other theft",3
-2.229264,53.479502,"On or near Jutland Street","Burglary",3
-2.228832,53.435612,"On or near Moorfield Street","Vehicle crime",3
-2.228714,53.47811,"On or near Parking Area","Vehicle crime",3
-2.227614,53.402177,"On or near Jayton Avenue","Violence and sexual offences",3
-2.226934,53.483399,"On or near Redhill Street","Shoplifting",3
-2.226401,53.468083,"On or near Jessel Close","Violence and sexual offences",3
-2.225879,53.457828,"On or near Rusholme Place","Theft from the person",3
-2.225621,53.457398,"On or near Banff Road","Violence and sexual offences",3
-2.224182,53.484366,"On or near New Union Street","Burglary",3
-2.220473,53.443412,"On or near Landcross Road","Burglary",3
-2.220473,53.443412,"On or near Landcross Road","Violence and sexual offences",3
-2.219124,53.447441,"On or near Wilmslow Road","Robbery",3
-2.219124,53.447441,"On or near Wilmslow Road","Violence and sexual offences",3
-2.218909,53.470156,"On or near Dalberg Street","Violence and sexual offences",3
-2.218358,53.427344,"On or near Newstead Avenue","Violence and sexual offences",3
-2.218254,53.442248,"On or near Conference/Exhibition Centre","Drugs",3
-2.217996,53.479946,"On or near Snell Street","Violence and sexual offences",3
-2.217558,53.506364,"On or near Goodwin Square","Criminal damage and arson",3
-2.214785,53.524435,"On or near Petrol Station","Other theft",3
-2.214778,53.511141,"On or near Bernard Street","Public order",3
-2.213717,53.506964,"On or near Windrush Drive","Violence and sexual offences",3
-2.212736,53.512943,"On or near Shopping Area","Other theft",3
-2.212736,53.512943,"On or near Shopping Area","Violence and sexual offences",3
-2.211319,53.491769,"On or near Pochin Street","Vehicle crime",3
-2.2085,53.454912,"On or near Aycliffe Grove","Violence and sexual offences",3
-2.207274,53.499928,"On or near Bush Street","Robbery",3
-2.202158,53.441764,"On or near Fortuna Grove","Violence and sexual offences",3
-2.200409,53.428401,"On or near Ashburn Avenue","Violence and sexual offences",3
-2.198868,53.514018,"On or near Supermarket","Shoplifting",3
-2.198584,53.456448,"On or near Chell Street","Theft from the person",3
-2.195384,53.484434,"On or near Petrol Station","Other theft",3
-2.193922,53.520678,"On or near Raycroft Avenue","Criminal damage and arson",3
-2.187197,53.483522,"On or near Buchan Street","Bicycle theft",3
-2.186166,53.519926,"On or near Rudston Avenue","Violence and sexual offences",3
-2.181528,53.493355,"On or near Croydon Drive","Violence and sexual offences",3
-2.175531,53.493813,"On or near Octavia Drive","Other theft",3
-2.173053,53.499713,"On or near Regent Street","Criminal damage and arson",3
-2.171703,53.475428,"On or near Cheadle Street","Violence and sexual offences",3
-2.17088,53.458091,"On or near Old Hall Drive","Vehicle crime",3
-2.166681,53.474195,"On or near Rock Street","Other theft",3
-2.166681,53.474195,"On or near Rock Street","Shoplifting",3
-2.166468,53.462142,"On or near Rockhampton Street","Violence and sexual offences",3
-2.159379,53.467428,"On or near Madison Street","Burglary",3
-2.159191,53.52161,"On or near Atherley Grove","Burglary",3
-2.311025,53.403679,"On or near New Forest Road","Violence and sexual offences",2
-2.302064,53.406272,"On or near Warmley Road","Violence and sexual offences",2
-2.301779,53.402094,"On or near Fern Bank Drive","Vehicle crime",2
-2.296622,53.4003,"On or near Supermarket","Violence and sexual offences",2
-2.292775,53.411608,"On or near Vawdrey Drive","Criminal damage and arson",2
-2.292319,53.402126,"On or near Bideford Drive","Violence and sexual offences",2
-2.291646,53.444437,"On or near Alderfield Road","Public order",2
-2.28913,53.408839,"On or near Woodham Road","Violence and sexual offences",2
-2.287923,53.38158,"On or near Pensford Road","Vehicle crime",2
-2.28782,53.413031,"On or near Feldom Road","Violence and sexual offences",2
-2.283893,53.383612,"On or near Belstone Avenue","Criminal damage and arson",2
-2.283424,53.378615,"On or near Hucklow Avenue","Violence and sexual offences",2
-2.281719,53.386772,"On or near Tamar Drive","Vehicle crime",2
-2.28085,53.43969,"On or near Stockton Road","Burglary",2
-2.280565,53.391961,"On or near Hollyhedge Road","Criminal damage and arson",2
-2.280565,53.391961,"On or near Hollyhedge Road","Other theft",2
-2.28045,53.413255,"On or near Mainwaring Terrace","Violence and sexual offences",2
-2.279064,53.367021,"On or near Airport/Airfield","Other crime",2
-2.279064,53.367021,"On or near Airport/Airfield","Other theft",2
-2.278959,53.408522,"On or near Lawton Moor Road","Violence and sexual offences",2
-2.278918,53.413735,"On or near Tipton Drive","Violence and sexual offences",2
-2.278627,53.440459,"On or near Johns Close","Violence and sexual offences",2
-2.278115,53.445089,"On or near Further/Higher Educational Building","Other theft",2
-2.277145,53.441847,"On or near Silverwood Avenue","Other theft",2
-2.274471,53.447408,"On or near Bryan Road","Public order",2
-2.273676,53.433738,"On or near Brassington Avenue","Burglary",2
-2.273425,53.380652,"On or near Simonsway","Other theft",2
-2.273249,53.362505,"On or near Parking Area","Other theft",2
-2.273249,53.362505,"On or near Parking Area","Public order",2
-2.27321,53.436274,"On or near Petrol Station","Criminal damage and arson",2
-2.272922,53.381903,"On or near Adshead Close","Criminal damage and arson",2
-2.272906,53.44271,"On or near Petrol Station","Criminal damage and arson",2
-2.271779,53.412511,"On or near Barry Road","Violence and sexual offences",2
-2.271772,53.378391,"On or near Cotefield Road","Criminal damage and arson",2
-2.271554,53.386634,"On or near Oxton Avenue","Criminal damage and arson",2
-2.269839,53.450564,"On or near Milton Grove","Criminal damage and arson",2
-2.269749,53.443464,"On or near Ellesmere Road","Bicycle theft",2
-2.269397,53.39258,"On or near Alders Avenue","Criminal damage and arson",2
-2.269001,53.372851,"On or near Kingsgate Road","Criminal damage and arson",2
-2.2668,53.47013,"On or near Parking Area","Violence and sexual offences",2
-2.265483,53.394414,"On or near Brookfield Gardens","Criminal damage and arson",2
-2.265175,53.470565,"On or near Thorncross Close","Vehicle crime",2
-2.264991,53.390235,"On or near Harbury Crescent","Violence and sexual offences",2
-2.264899,53.469676,"On or near Malt Street","Criminal damage and arson",2
-2.264114,53.3967,"On or near Boothfield Road","Violence and sexual offences",2
-2.263733,53.369178,"On or near Woodhouse Road","Criminal damage and arson",2
-2.263335,53.423955,"On or near Ennerdale Avenue","Violence and sexual offences",2
-2.263189,53.388145,"On or near Roughey Gardens","Violence and sexual offences",2
-2.263136,53.440377,"On or near Vaughan Road","Burglary",2
-2.263136,53.440377,"On or near Vaughan Road","Criminal damage and arson",2
-2.262703,53.455686,"On or near Oakfield Avenue","Violence and sexual offences",2
-2.262397,53.376677,"On or near Tillhey Road","Criminal damage and arson",2
-2.262144,53.379527,"On or near Supermarket","Other crime",2
-2.262144,53.379527,"On or near Supermarket","Public order",2
-2.261668,53.456398,"On or near Hilden Court","Violence and sexual offences",2
-2.261645,53.381577,"On or near Poundswick Lane","Violence and sexual offences",2
-2.261459,53.37818,"On or near Petrol Station","Public order",2
-2.261255,53.379322,"On or near Shopping Area","Violence and sexual offences",2
-2.261012,53.391062,"On or near Overton Road","Violence and sexual offences",2
-2.260971,53.470305,"On or near Anne Nuttall Road","Criminal damage and arson",2
-2.260442,53.396258,"On or near Marford Close","Criminal damage and arson",2
-2.260259,53.472248,"On or near Arundel Street","Vehicle crime",2
-2.259448,53.455351,"On or near Rufford Road","Burglary",2
-2.25868,53.383561,"On or near Northcote Avenue","Burglary",2
-2.258573,53.45263,"On or near May Road","Violence and sexual offences",2
-2.258319,53.390906,"On or near Lyndene Road","Criminal damage and arson",2
-2.25822,53.38945,"On or near Longhey Road","Violence and sexual offences",2
-2.257791,53.455211,"On or near Catesby Road","Violence and sexual offences",2
-2.257746,53.408084,"On or near Palatine Road","Criminal damage and arson",2
-2.257746,53.408084,"On or near Palatine Road","Violence and sexual offences",2
-2.25716,53.475338,"On or near Park/Open Space","Other theft",2
-2.256698,53.456328,"On or near Walford Street","Drugs",2
-2.255359,53.46656,"On or near Hornchurch Street","Violence and sexual offences",2
-2.254275,53.471695,"On or near Crown Street","Vehicle crime",2
-2.253991,53.366026,"On or near Swithin Road","Criminal damage and arson",2
-2.253793,53.479273,"On or near Young Street","Bicycle theft",2
-2.253793,53.479273,"On or near Young Street","Violence and sexual offences",2
-2.253632,53.391707,"On or near Turnbury Road","Vehicle crime",2
-2.253475,53.46642,"On or near Old York Street","Theft from the person",2
-2.253279,53.38795,"On or near Supermarket","Shoplifting",2
-2.252946,53.481189,"On or near Left Bank","Violence and sexual offences",2
-2.252053,53.384052,"On or near Burdon Avenue","Violence and sexual offences",2
-2.251396,53.494244,"On or near Lampson Street","Violence and sexual offences",2
-2.250868,53.473769,"On or near Gilbert Street","Violence and sexual offences",2
-2.250416,53.476377,"On or near Parking Area","Criminal damage and arson",2
-2.250416,53.476377,"On or near Parking Area","Theft from the person",2
-2.250416,53.476377,"On or near Parking Area","Vehicle crime",2
-2.250365,53.467775,"On or near Clayburn Road","Other theft",2
-2.250244,53.441969,"On or near Athol Road","Violence and sexual offences",2
-2.249858,53.517275,"On or near Fraser Road","Violence and sexual offences",2
-2.249809,53.524277,"On or near White House Avenue","Theft from the person",2
-2.249735,53.403976,"On or near West View Road","Violence and sexual offences",2
-2.249391,53.481448,"On or near Butter Lane","Criminal damage and arson",2
-2.249258,53.474123,"On or near Cameron Street","Violence and sexual offences",2
-2.249179,53.481269,"On or near Back Bridge Street","Violence and sexual offences",2
-2.249066,53.472272,"On or near City Road East","Other theft",2
-2.249066,53.472272,"On or near City Road East","Vehicle crime",2
-2.249049,53.379384,"On or near Leominster Drive","Drugs",2
-2.248769,53.385371,"On or near Tranby Close","Criminal damage and arson",2
-2.248763,53.479625,"On or near Deansgate","Criminal damage and arson",2
-2.248763,53.479625,"On or near Deansgate","Theft from the person",2
-2.248696,53.496631,"On or near Hodgson Street","Criminal damage and arson",2
-2.248233,53.525674,"On or near Meade Hill Road","Vehicle crime",2
-2.247888,53.461362,"On or near Shopping Area","Theft from the person",2
-2.247786,53.482737,"On or near College Land","Other theft",2
-2.247719,53.478962,"On or near Jackson'S Row","Theft from the person",2
-2.247534,53.48085,"On or near Nightclub","Other theft",2
-2.247534,53.48085,"On or near Nightclub","Public order",2
-2.247436,53.508031,"On or near Greenland Street","Violence and sexual offences",2
-2.247391,53.469183,"On or near Clarendon Street","Robbery",2
-2.247338,53.478199,"On or near Marron Place","Other theft",2
-2.247338,53.478199,"On or near Marron Place","Violence and sexual offences",2
-2.247324,53.480913,"On or near Nightclub","Theft from the person",2
-2.247219,53.429185,"On or near Robert Harrison Avenue","Burglary",2
-2.246924,53.521056,"On or near Kenslow Avenue","Burglary",2
-2.246798,53.517524,"On or near Polygon Road","Violence and sexual offences",2
-2.246579,53.477203,"On or near Windmill Street","Violence and sexual offences",2
-2.246049,53.380496,"On or near Glenby Avenue","Violence and sexual offences",2
-2.245897,53.440144,"On or near Greystone Avenue","Vehicle crime",2
-2.245897,53.481833,"On or near St Ann Street","Other theft",2
-2.245778,53.508089,"On or near Carstairs Close","Burglary",2
-2.24559,53.483353,"On or near St Mary'S Gate","Violence and sexual offences",2
-2.245535,53.479002,"On or near Lloyd Street","Criminal damage and arson",2
-2.245535,53.479002,"On or near Lloyd Street","Violence and sexual offences",2
-2.244974,53.486338,"On or near Chapel Street","Vehicle crime",2
-2.244836,53.48597,"On or near Victoria Street","Violence and sexual offences",2
-2.244429,53.470151,"On or near Mancunian Way","Theft from the person",2
-2.243949,53.483698,"On or near Parking Area","Theft from the person",2
-2.243768,53.441668,"On or near Petrol Station","Violence and sexual offences",2
-2.243693,53.491608,"On or near Robert Street","Criminal damage and arson",2
-2.243693,53.491608,"On or near Robert Street","Vehicle crime",2
-2.24348,53.47542,"On or near Chepstow Street South","Other theft",2
-2.24348,53.47542,"On or near Chepstow Street South","Violence and sexual offences",2
-2.243339,53.48245,"On or near Shopping Area","Theft from the person",2
-2.243249,53.485065,"On or near Shopping Area","Violence and sexual offences",2
-2.243082,53.474405,"On or near Nightclub","Violence and sexual offences",2
-2.242736,53.508751,"On or near Back Halliwell Lane","Vehicle crime",2
-2.242532,53.45198,"On or near Bowes Street","Burglary",2
-2.242404,53.516589,"On or near Rectory Avenue","Violence and sexual offences",2
-2.242394,53.504203,"On or near Brentfield Avenue","Violence and sexual offences",2
-2.242372,53.47927,"On or near Nightclub","Other theft",2
-2.242372,53.47927,"On or near Nightclub","Violence and sexual offences",2
-2.242181,53.472142,"On or near Lower Chatham Street","Vehicle crime",2
-2.242156,53.475729,"On or near Oxford Street","Bicycle theft",2
-2.242,53.474767,"On or near Supermarket","Violence and sexual offences",2
-2.241974,53.465024,"On or near Eden Close","Theft from the person",2
-2.241919,53.468592,"On or near Wilmott Street","Theft from the person",2
-2.241758,53.46408,"On or near Brennan Close","Violence and sexual offences",2
-2.241702,53.483451,"On or near Shopping Area","Theft from the person",2
-2.241615,53.491972,"On or near Elsworth Street","Violence and sexual offences",2
-2.241562,53.450742,"On or near Yew Tree Avenue","Robbery",2
-2.241475,53.451362,"On or near Bus/Coach Station","Violence and sexual offences",2
-2.241432,53.512717,"On or near Limestead Avenue","Burglary",2
-2.241378,53.484647,"On or near Withy Grove","Other theft",2
-2.241318,53.468863,"On or near Cavendish Street","Theft from the person",2
-2.241179,53.473447,"On or near Nightclub","Violence and sexual offences",2
-2.241146,53.435831,"On or near Dinting Avenue","Violence and sexual offences",2
-2.241119,53.462895,"On or near Aquarius Street","Criminal damage and arson",2
-2.24105,53.479937,"On or near West Mosley Street","Violence and sexual offences",2
-2.240947,53.493654,"On or near Knowsley Street","Violence and sexual offences",2
-2.240768,53.480729,"On or near Fountain Street","Theft from the person",2
-2.240227,53.51032,"On or near Greenhill Road","Other theft",2
-2.240176,53.482627,"On or near Shopping Area","Other theft",2
-2.240007,53.484793,"On or near Well Street","Theft from the person",2
-2.239976,53.476524,"On or near Harter Street","Violence and sexual offences",2
-2.239785,53.477477,"On or near Nightclub","Criminal damage and arson",2
-2.239785,53.477477,"On or near Nightclub","Violence and sexual offences",2
-2.239658,53.473675,"On or near Mallard Street","Other theft",2
-2.239655,53.478493,"On or near Faulkner Street","Theft from the person",2
-2.239594,53.47834,"On or near Parking Area","Other theft",2
-2.239442,53.51025,"On or near Egmont Street","Violence and sexual offences",2
-2.239346,53.431547,"On or near Sandhurst Avenue","Burglary",2
-2.238961,53.483645,"On or near High Street","Violence and sexual offences",2
-2.238922,53.476724,"On or near Nightclub","Theft from the person",2
